#{"t_start": 1747916898.2736607, "env_id": "None"}
r,l,t
-4.8,500,325.437884
-5.0,500,326.285935
-5.3,500,327.125987
-5.1,500,328.007831
-5.4,500,328.879637
-4.7,500,329.794848
-4.9,500,330.627904
-5.0,500,331.446457
-4.7,500,332.307085
0.0,500,332.653162
0.0,500,332.982715
0.0,500,333.311593
0.0,500,333.623409
0.0,500,333.934253
-4.7,500,334.845425
-4.8,500,335.72402
-5.2,500,336.574093
-5.5,500,337.401906
-4.8,500,338.230589
-4.6,500,339.071607
-4.2,500,339.974542
-3.8,500,340.808145
-3.7,500,341.669718
-5.4,500,342.498799
-3.7,500,343.367927
-3.4,500,344.215007
-3.9,500,345.106114
-5.4,500,346.123084
-2.8,500,347.025156
-3.8,500,347.919676
-4.3,500,348.77274
-4.8,500,349.637827
-3.5,500,350.532676
-2.7,500,351.369774
0.0,500,351.685419
0.0,500,351.985244
0.0,500,352.341034
0.0,500,352.659862
0.0,500,352.97471
-3.7,500,353.875751
-4.9,500,354.754927
-3.5,500,355.645048
-4.0,500,356.531717
-3.1,500,357.427781
-2.9,500,358.264843
-3.2,500,359.162905
-3.6,500,359.995026
-3.0,500,360.837056
-2.4,500,361.716154
-2.4,500,362.594018
-2.6,500,363.445085
-2.7,500,364.557009
-2.3,500,365.543086
-2.8,500,366.457575
-1.8,500,367.409872
-2.2,500,368.507315
-3.0,500,369.503002
-2.9,500,370.401511
-2.5,500,371.284285
0.0,500,371.610146
0.0,500,371.928961
0.0,500,372.274005
0.0,500,372.616878
0.0,500,372.945765
-3.1,500,373.836841
-2.6,500,374.730859
-1.6,500,375.585762
-1.8,500,376.44391
-1.6,500,377.371418
-2.5,500,378.278984
-2.6,500,379.205495
-2.5,500,380.086074
-1.5,500,380.994018
-2.4,500,381.910683
-1.2,500,382.805747
-2.6,500,383.80502
-1.6,500,384.88712
-1.1,500,385.899216
-0.8,500,386.821071
-1.6,500,387.796123
-1.3,500,388.826997
-1.5,500,389.732427
-0.8,500,390.631644
-1.3,500,391.496961
0.0,500,391.79978
0.0,500,392.137594
0.0,500,392.463815
0.0,500,392.791625
0.0,500,393.103922
-1.3,500,394.027441
-1.7,500,394.918051
-0.9,500,395.849594
-1.3,500,396.735751
-2.0,500,397.609293
-1.1,500,398.455401
-1.0,500,399.462146
-1.2,500,400.341641
-1.7,500,401.274458
-1.0,500,402.155728
-1.3,500,403.018354
-1.5,500,403.892089
-1.1,500,404.778702
-1.8,500,405.698843
-1.3,500,406.598956
-1.5,500,407.50202
-1.3,500,408.381727
-0.7,500,409.453442
-1.5,500,410.501559
-1.5,500,411.55686
0.0,500,411.94564
0.0,500,412.29885
0.0,500,412.653649
0.0,500,412.982691
0.0,500,413.355021
-1.1,500,414.322096
-1.5,500,415.297514
-1.8,500,416.257063
-1.5,500,417.155582
-0.3,500,418.056676
-1.2,500,418.930583
-1.6,500,419.797315
-1.6,500,420.677624
-1.5,500,421.522183
-1.4,500,422.38776
-0.7,500,423.277249
-1.3,500,424.190626
-1.0,500,425.171699
-1.2,500,426.117552
-0.9,500,427.080639
-1.3,500,428.069928
-1.1,500,435.087215
-1.6,500,436.338493
-1.1,500,437.589105
-1.0,500,438.551619
0.0,500,438.954928
0.0,500,439.363775
0.0,500,439.797867
0.0,500,440.203654
0.0,500,440.62183
-1.6,500,441.889612
-1.3,500,443.960689
-1.0,500,445.289598
-0.9,500,446.782167
-1.3,500,448.136708
-1.4,500,449.959784
-1.2,500,451.476525
-1.5,500,452.89906
-0.8,500,454.367578
-1.6,500,455.740803
-1.3,500,456.825215
-0.7,500,457.717731
-1.0,500,458.597771
-1.0,500,459.479842
-0.9,500,460.419515
-0.6,500,461.36833
-1.0,500,462.428785
-1.3,500,463.350367
-1.1,500,464.265927
-1.1,500,465.543557
0.0,500,465.924131
0.0,500,466.478812
0.0,500,466.925554
0.0,500,467.356306
0.0,500,467.710105
-1.0,500,468.75515
-1.7,500,469.682303
-0.8,500,470.6328
-0.6,500,471.570729
-1.3,500,472.550333
-1.6,500,473.528185
-1.2,500,474.477641
-1.4,500,475.492152
-0.7,500,476.478686
-1.5,500,477.411718
-1.0,500,478.365717
-2.2,500,479.378681
-0.4,500,480.406419
-1.5,500,481.390368
-0.8,500,482.329063
-1.3,500,483.325169
-0.9,500,484.309752
-1.3,500,485.248793
-0.8,500,486.238463
-1.1,500,487.531775
0.0,500,487.902605
0.0,500,488.435809
0.0,500,488.818617
0.0,500,489.242882
0.0,500,489.717623
-1.2,500,491.302602
-0.5,500,492.82541
-1.3,500,494.564944
-0.7,500,497.270999
-1.0,500,499.836354
-1.7,500,501.172587
-1.5,500,502.40047
-1.5,500,503.338972
-1.2,500,1012.916181
-1.5,500,1013.830126
-1.3,500,1014.726157
-0.9,500,1015.719587
-1.3,500,1027.868037
-1.6,500,1029.982821
-1.5,500,1031.328049
-1.8,500,1032.430418
-1.3,500,1034.066478
-1.6,500,1035.321759
-0.8,500,1036.664913
-1.2,500,1037.826247
0.0,500,1038.272991
0.0,500,1038.719733
0.0,500,1039.171483
0.0,500,1039.617044
0.0,500,1040.063277
-1.3,500,1041.261479
-0.8,500,1042.39943
-1.4,500,1043.919821
-1.2,500,1045.081499
-2.0,500,1046.348649
-1.0,500,1047.553957
-0.7,500,1048.45544
-1.0,500,1049.437875
-1.5,500,1050.457364
-1.2,500,1051.369392
-0.9,500,1052.21181
-1.1,500,1053.063321
-1.6,500,1053.915838
-0.9,500,1054.76944
-1.3,500,1055.662483
-0.9,500,1056.527273
-2.0,500,1057.394736
-2.0,500,1058.259266
-1.1,500,1059.082058
-1.1,500,1059.928007
0.0,500,1060.234309
0.0,500,1060.51546
0.0,500,1060.837402
0.0,500,1061.118243
0.0,500,1061.422067
-1.5,500,1062.506445
-1.3,500,1063.357978
-1.4,500,1064.196479
-1.4,500,1065.005849
-1.4,500,1065.847957
-1.0,500,1066.69968
-2.0,500,1067.557737
-1.1,500,1068.415292
-1.4,500,1069.295156
